Company Name,Company Website,Majors Hiring,Positions Available,Degree Required,Job Location,Online Application Web Page,Hiring Policy,Date of Attendance,Attending Receptions,Company Profile,Sponsor?,Building
L-3 Communications - Communication Systems West,www.l-3jobs.com,"Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors",West Coast,www.l-3jobs.com,3,"Monday, September 24th",Yes,"Communication Systems-West is a leader in communications systems for high-performance intelligence collection, imagery processing and satellite communications for Department of Defense (DoD) and other government agencies. The company provides high-data rate, wideband, secure, real-time communications systems for surveillance, reconnaissance and other airborne intelligence collection systems.",,CC
Lam Research Corporation,www.lamresearch.com,"Electrical Engineering, Engineering Math/Physics, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors",West Coast,http://careers.lamresearch.com,1,"Monday, September 24th",No,"Lam Research Corporation is a leading supplier of wafer fabrication equipment and services to the worldwide semiconductor industry, where we have been advancing semiconductor manufacturing for over 30 years. The Company has been number one in plasma etch market share for 10 consecutive years and maintains one of the largest installed bases of single-wafer wet clean modules.",,CC
Lean Care Solutions,n/a,"Biomedical Engineering, Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors",Midwest,,1,"Tuesday, September 25th",No,"Lean Care Solutions provides hospitals globally with cutting edge business analytics modeling technology to optimize cost, healthcare outcomes, quality and access. Our approach to systems engineering captures and coordinates the entire care process for all patients in the healthcare network. Our data-driven methodologies forecasts workloads across a network of services, but also identify high impact process improvements. This generates major system-wide benefits to all aspects of care delivery.",,CO
LLamasoft Inc.,www.llamasoft.com,"Computer Science, Industrial and Operations Engineering",Full-time,"Masters, Bachelors",Midwest,,1,"Monday, September 24th",No,"LLamasoft is located in Ann Arbor, MI & is the creator of Supply Chain Guru™, the leading supply chain strategic planning application available on the market today. Supply Chain Guru combines powerful network optimization with cutting edge network simulation in an easy to use interface, allowing users to analyze & solve challenging supply chain strategy issues in sourcing, manufacturing, inventory & transportation applications.",,PC
L'Oreal USA,www.lorealusa.com,"Chemical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op",Bachelors,"Northeast, Midwest",www.lorealusa.jobs,2,"Tuesday, September 25th",Yes,"L'Oréal USA, is a subsidiary of L'Oréal. L'Oréal develops and manufactures haircare, haircolor, skincare, color cosmetics and fragrances for the consumer and professional markets.",,EECS
Los Alamos National Laboratory,http://www.lanl.gov/,"Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Interdisciplinary Engineering (Undergraduate), Materials Science and Engineering, Mechanical Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship","PhD, Masters, Bachelors",Southwest,http://www.lanl.gov/orgs/hr/jobs/,1,"Tuesday, September 25th",Yes,"Los Alamos National Laboratory is one of the largest science and technology institutions in the world. It conducts multidisciplinary research in fields such as national security, space exploration, renewable energy, medicine, nanotechnology, and supercomputing.",,GA
Lutron Electronics,www.lutron.com/careers,"Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Interdisciplinary Engineering (Undergraduate), Mechanical Engineering","Full-time, Summer Internship, Co-Op","Masters, Bachelors",Northeast,www.lutron.com/careers,1,"Monday, September 24th",Yes,"Lutron Electronics designs and manufactures energy-saving light controls and automated window treatments for residential and commercial applications. Its innovative, intuitive products can be used to control everything from a single light, to every light, shade and even stand-by power in a home or commercial building. Lutron estimates that the installed base of its products saves the nation nearly 10 billion kWh of electricity, or approximately $1 billion in utility costs per year.",,GA
Lyons Consulting Group,www.lyonscg.com,"Computer Engineering, Computer Science, Engineering Math/Physics","Full-time, Summer Internship","Masters, Bachelors","Midwest, Southeast",,2,"Tuesday, September 25th",Yes,"Lyons Consulting Group is the premier eCommerce design, development and support firm dedicated to help our clients continually grow and succeed in their online business. With a proven track record to deliver creative, robust and most importantly, increasingly profitable eCommerce sites, our diverse group of experts are committed to customer satisfaction and project excellence.",,DC
Magna Powertrain,www.magnapowertrain.com,"Automotive Engineering, Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering",Full-time,"PhD, Masters, Bachelors",Midwest,,1,"Monday, September 24th",No,"Magna Powertrain is a premier supplier for the global automotive industry with full capabilities in powertrain design, development, testing and manufacturing. Offering complete system integration sets us apart from our competitors. A subsidiary of Magna International, Magna Powertrain is headquartered in Troy, Michigan with 40+ locations globally. When asked to describe Magna Powertrain in three words, our employees said, “challenging, rewarding and exciting.”",,DC
Manhattan Associates,www.manh.com,"Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors",Southeast,www.manh.com,1,"Monday, September 24th",No,"Manhattan Associates continues to deliver on its 22-year heritage of providing global supply chain excellence to more than 1,200 customers worldwide that consider supply chain optimization core to their strategic market leadership. To learn more, please visit our website at www.manh.com.",,PC
Marathon Petroleum Company LP,www.marathonpetroleum.com,"Chemical Engineering, Electrical Engineering, Materials Science and Engineering, Mechanical Engineering","Summer Internship, Co-Op",Bachelors,Midwest,www.marathonpetroleum.com/careers,2,"Tuesday, September 25th",No,"Petroleum Corporation (MPC) is the name of the parent company which includes several subsidiary companies including Marathon Petroleum Company LP, Marathon Pipe Line LLC, and Speedway LLC. MPC is the nation's fifth largest refiner and the largest refiner in the Midwest. MPC's refining, marketing and transportation operations are concentrated primarily in the Midwest, Gulf Coast and Southeast regions of the U.S.",,DC
Marvell Semiconductor,www.marvell.com,"Computer Engineering, Computer Science, Electrical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors",West Coast,www.marvell.com,1,"Monday, September 24th",,"Founded in 1995, Marvell's expertise in microprocessor architecture and digital signal processing, drives multiple platforms including high volume storage solutions, mobile and wireless, networking, consumer, and green products. World-class engineering and mixed-signal design expertise helps Marvell deliver critical building blocks to its customers, giving them the competitive edge to succeed in today's dynamic market.",,PC
MathWorks,www.mathworks.com,"Aerospace Engineering, Biomedical Engineering, Computer Engineering, Computer Science, Electrical Engineering, Mechanical Engineering",Full-time,"PhD, Masters",Northeast,,1,"Monday, September 24th",No,"MathWorks is the leading developer of mathematical computing software. Engineers and scientists worldwide rely on its products to accelerate the pace of discovery, innovation, and development. Products MATLAB®, the language of technical computing, is a programming environment for algorithm development, data analysis, visualization, and numeric computation. Simulink® is a graphical environment for simulation and Model-Based Design of multidomain dynamic and embedded systems.",,EECS
Mayo Clinic,www.mayoclinic.org,"Biomedical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Interdisciplinary Engineering (Undergraduate), Manufacturing Engineering, Mechanical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors","Southwest, Midwest, Southeast",www.mayoclinic.org,1,"Monday, September 24th",Yes,"Mayo Clinic, with locations in Arizona, Florida and Minnesota, is an internationally know and respected healthcare facility. It is the largest private, not-for-profit group practice in the world. We employ many types of Engineers, including Civil, Mechanical, Biomedical, Electrical, Industrial, Manufacturing, Construction and Computer. Mayo is an exciting place to work where your efforts benefit the care of the patient almost as directly as the clinician's efforts.",,EECS
McDonnell Boehnen Hulbert & Berghoff LLP,www.mbhb.com,"Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics",Full-time,"PhD, Masters, Bachelors",Midwest,https://lawcruit.micronapps.com/sup/v2/lc_supp_app_frm.aspx?lawfirm=59&id=0,1,"Monday, September 24th",No,"McDonnell Boehnen Hulbert & Berghoff LLP is a progressive intellectual property law firm focusing on the needs of technology-driven companies. Our clients range from Fortune 100 companies to entrepreneurial start-ups, in nearly every field, including biotechnology, business methods, chemical, computing, electrical, mechanical and materials, pharmaceuticals and diagnostics, and telecommunications.",,BBB
Medline Industries,Medline.com,Industrial and Operations Engineering,Full-time,"Masters, Bachelors",Midwest,www.medline.com/careers,3,"Monday, September 24th",No,"Medline provides products and clinical solutions to all markets across the continuum of healthcare: hospitals, long-term care facilities, surgery centers, home care and hospice agencies, physician offices and scientific products.",,DOW
Merck & Co.,http://www.merck.com/,"Biomedical Engineering, Chemical Engineering, Pharmaceutical Engineering","Full-time, Summer Internship","Masters, Bachelors","Northeast, Southeast",http://www.merck.com/careers/search-and-apply/submit-resume/home.html,1,"Tuesday, September 25th",Yes,"Merck & Co., Inc. is a global research-driven pharmaceutical company. Established in 1851, Merck discovers, develops, manufactures and markets vaccines and medicines to address unmet medical needs. The company devotes extensive efforts to increase access to medicines through far-reaching programs that not only donate Merck medicines but help deliver them to the people who need them. Merck also publishes unbiased health information as a not-for-profit service.",,DOW
"Meritor, Inc.",www.meritor.com,"Automotive Engineering, Electrical Engineering, Industrial and Operations Engineering, Mechanical Engineering","Summer Internship, Co-Op","Masters, Bachelors",Midwest,www.meritor.com/workwithus,1,"Tuesday, September 25th",Yes,"Meritor, Inc. is a leading global supplier of drivetrain, mobility, braking and aftermarket solutions for commercial vehicle and industrial markets. With more than a 100-year legacy of providing innovative products that offer superior performance, efficiency and reliability, the company serves commercial truck, trailer, off-highway, defense, specialty and aftermarket customers in more than 70 countries.",,GA
Michelin North America,www.careers.michelin-us.com,"Automotive Engineering, Chemical Engineering, Computer Science, Electrical Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors","Midwest, Southeast",www.careers.michelin-us.com,3,"Monday, September 24th",Yes,"From its beginnings in 1889 as a small rubber factory in Clermont, France, Michelin has grown into the largest tire company in the world, with 70 plants on four continents, more than 130,000 employees and the reputation for producing top quality tires. Michelin, as an international group of corporations, is dedicated to the most advanced disciplines of science and research, manufacturing and marketing…entirely focused on one product…tires.",,PC
Microsoft,www.microsoft.com/university,"Computer Engineering, Computer Science, Electrical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors",West Coast,www.microsoft.com/university,1,"Monday, September 24th",Yes,"Microsoft is the worldwide leader in software, services and solutions that help people and businesses realize their full potential. We're motivated and inspired by how our customers and partners use our software to find creative solutions to business problems, develop breakthrough ideas and stay connected to what's important to them. We run our company in much the same way. Our employees come as they are and do what they love. We're a global company, located in over 100 countries, but we often act like a startup. We do software — but we also do hardware, services, research, and community outreach. We work hard, but we value work/life balance, and each of us defines what that means to us. So why not explore what we do, where we do it, and what life is really like at Microsoft? You just might be surprised.",,EECS
"Minnetronix, Inc.",www.minnetronix.com,"Biomedical Engineering, Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors",Midwest,http://www.minnetronix.com/careers/,1,"Monday, September 24th",Yes,"Minnetronix provides award-winning product design, development and manufacturing services to create state-of-the-art, innovative medical devices. Minnetronix was founded on the premise that if you gather smart, motivated people together and put them in a flexible and creative environment, good things will happen.",X,DOW
MIT Lincoln Laboratory,www.ll.mit.edu,"Aerospace Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors",Northeast,www.ll.mit.edu,3,"Monday, September 24th",Yes,"Lincoln Laboratory's mission is to apply science and advanced technology to critical problems of national security. A Department of Defense federally funded research and development center, the Laboratory's emphasis is building prototypes and demonstrating operation systems under live test conditions that meet real-world requirements. For more information, visit www.ll.mit.edu.",,BBB
Molex,http://www.molex.com,"Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering",Full-time,"Masters, Bachelors","Southwest, Midwest",,1,"Monday, September 24th",No,"Molex is a leading one-source supplier of interconnect products. Our team of highly skilled experts is focused on the design, development and distribution of innovative product solutions that touch virtually every walk of life. Our portfolio is among the world's most extensive, with over 100,000 reliable products, including everything from electronic, electrical and fiber optic interconnects to switches and application tooling.",,PC
Mubea NA,www.mubea.com,No information,"Full-time, Co-Op",Bachelors,Midwest,,2,"Tuesday, September 25th",No,"Mubea, manufacturer of lightweight automotive component parts, has been growing during the last number of years. In order to meet the global market demands, Mubea will be increasing worldwide production and will be searching for talented, motivated and energetic individuals who are ready to take on the challenges of an ever growing company. Mubea's Michigan Engineering Center (MEC) is located in Auburn Hills, Michigan. Our US manufacturing facilities are in Florence, Kentucky.",,CC
"Muller-BBM Vibroacoustic Systeme, Inc.",www.pak4nvh.com,"Aerospace Engineering, Automotive Engineering, Computer Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors",Midwest,,3,"Tuesday, September 25th",No,"Muller-BBM Vibroacoustic Systeme, Inc. is a world leader in data aquisition and data analysis hardware and software. Muller-BBM has their U.S. office located in Ann Arbor. We are seeking an Application Engineer.",,CC
"MyBuys, Inc.",www.mybuys.com,"Computer Engineering, Computer Science, Engineering Math/Physics, Industrial and Operations Engineering, Interdisciplinary Engineering (Undergraduate)",Full-time,"PhD, Masters, Bachelors",Midwest,servicesjobs@mybuys.com,2,"Monday, September 24th",Yes,"MyBuys is the leading provider of Cross-Channel Personalization for Internet retailers. The company builds deep profiles based on each shopper's behavior, and then uses a patented portfolio of algorithms and real-time optimization to deliver the most relevant recommendations via on site, email, display advertising, and mobile. Why join? Young team, casual downtown Ann Arbor office, fast growing company, red hot eCommerce industry, tons of data.",,CO
NASA Johnson Space Center Co-op Program,http://coop.jsc.nasa.gov,"Aerospace Engineering, Atmospheric, Oceanic, and Space Sciences, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Materials Science and Engineering, Mechanical Engineering",Co-Op,"PhD, Masters, Bachelors",Southeast,,3,"Tuesday, September 25th",Yes,"JSC Co-op Program Website: https://coop.jsc.nasa.gov As a co-op, you'll have the opportunity to contribute to our continued work of building a new NASA vehicle to enable human deep space exploration, work on the operation and development of the International Space Station in cooperation with our Internal Partners, and work with industry to help foster the commercial space sector. Home to over 3,000 Federal employees, JSC is located about 25 miles southeast of downtown Houston.",,PC
National Instruments,www.ni.com,"Biomedical Engineering, Computer Engineering, Electrical Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors",Southwest,www.ni.com/careers,1,"Monday, September 24th",No,"National Instruments, a technology pioneer and industry leader in virtual instrumentation for 35 years, delivers LabVIEW graphical software and open, modular instrumentation hardware for design, simulation, control, test, and manufacturing. Engineers and scientists in hundreds of industries use flexible, high-performance NI products to create reliable user-defined systems throughout the product design cycle to reduce time to market and lower development costs.",,EECS
National Security Agency,www.nsa.gov/careers,"Computer Engineering, Computer Science, Electrical Engineering","Full-time, Summer Internship, Co-Op","Masters, Bachelors",Northeast,www.nsa.gov/careers,3,"Tuesday, September 25th",Yes,The NSA/CSS core missions are to protect U.S. national security systems and to produce foreign signals intelligence information.,,GA
Naval Research Laboratory,http://www.nrl.navy.mil,"Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs","Full-time, Summer Internship","PhD, Masters, Bachelors",Southeast,,3,"Monday, September 24th",Yes,"NRL is the corporate research laboratory for the Navy and Marine Corps and conducts a broad program of scientific research, technology and advanced development. NRL has served the Navy and the nation for over 85 years and continues to meet the complex technological challenges of today's world.",,GA
"Navistar, Inc.",www.Navistar.com,"Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors",Midwest,www.navistar.com/careers,2,"Monday, September 24th",Yes,"Navistar provides integrated and best-in-class transportation solutions. Based in Lisle, IL, we produce International® brand commercial trucks, mid-range diesel engines and IC brand school buses, and Workhorse brand chassis for motor homes and step vans. We design and manufacture diesel engines for the pickup truck, van and SUV markets. We also provide truck and diesel engine parts and service. A wholly owned subsidiary offers financing services.",,DC
NAVSEA,www.navsea.navy.mil/,"Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Financial Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",navsea.usajobs.gov,3,"Tuesday, September 25th",No,"Comprised of more than 60,000 civilian and military personnel in 33 global activities, professionals at NAVSEA have challenging and rewarding careers working with teammates who are recognized leaders in their fields. We build, buy and maintain ships, submarines and combat systems on time and on cost for the United States Navy. NAVSEA employees perform critical and cutting-edge defense work in science and engineering, program management, logistics, finance and technology.",X,DC
NAVSEA Norfolk Naval Shipyard,http://www.navsea.navy.mil/shipyards/norfolk/default.aspx,"Aerospace Engineering, Atmospheric, Oceanic, and Space Sciences, Chemical Engineering, Civil Engineering, Electrical Engineering, Engineering Math/Physics, Industrial and Operations Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",navsea.usajobs.gov,3,"Tuesday, September 25th",,"Norfolk Naval Shipyard is the oldest and largest shipyard dedicated to the repair, overhaul and modernization of the US Atlantic Fleet. Capabilities include all types of repairs on Naval vessels ranging from the largest nuclear powered aircraft carriers afloat to the most modern nuclear submarines.",,PC
Navy Recruiting District Michigan,Navy.com,"Aerospace Engineering, Atmospheric, Oceanic, and Space Sciences, Automotive Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Integrated Microsystems Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering, Nuclear Engineering and Radiological Sciences, Pharmaceutical Engineering",Full-time,"PhD, Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Southeast",,3,"Tuesday, September 25th",Yes,"Navy Recruiting, looking for Engineer student for Officer programs/scholarships programs.",,DC
New World Systems,http://www.newworldsystems.com,"Computer Engineering, Computer Science","Full-time, Summer Internship","Masters, Bachelors",Midwest,http://www.newworldsystems.com/about_us/careers/,2,"Monday, September 24th",Yes,"New World Systems is an industry-leading provider of enterprise software solutions to Public Safety and Public Administration agencies across the U.S. As a Microsoft Gold Certified Partner, our practices and technologies include .NET 3.5/4.0, C#, Agile Methodologies, Team Foundation Server 2010 and SQL Server 2008. We offer a fun, diverse and rewarding work environment in which to grow your career.",,PC
Nexteer Automotive,www.nexteer.com,"Computer Engineering, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors",Midwest,www.nexteer.com/careers.html,1,"Monday, September 24th",Yes,"Nexteer Automotive is a global leader in advanced steering and driveline systems. Nexteer's in-house development and integration of hardware, software and electronics gives the company an unmatched competitive advantage as a full service steering supplier. Nexteer draws upon a 100-year heritage of vehicle integration expertise and product workmanship. The company has a strong foundation and a reputation for providing dependable steering solutions and enduring customer relationships.",,EECS
Nissan North America,www.nissan.jobs,"Automotive Engineering, Electrical Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op","Masters, Bachelors","Midwest, Southeast",www.nissan.jobs,2,"Tuesday, September 25th",Yes,,,EECS
NMHG,www.nmhg.com,"Electrical Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors","Northwest, Midwest, Southeast",,3,"Monday, September 24th",Yes,"NACCO Materials Handling Group (“NMHG”)designs,engineers, manufactures and sells a comprehensive line of lift trucks marketed globally under the Hyster and Yale brand names. We strive for innovation in our products and services, quality and efficiency, sales and service excellence. NMHG offers outstanding design engineering opportunities at our North American design centers and manufacturing sites including those in Oregon, Illinois, North Carolina, Alabama and Kentucky.",,BBB
Northrop Grumman Corporation,careers.northropgrumman.com,"Aerospace Engineering, Biomedical Engineering, Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Materials Science and Engineering, Mechanical Engineering, Systems Engineering","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",careers.northropgrumman.com,2,"Tuesday, September 25th",Yes,"Northrop Grumman Corporation is a leading global security company providing innovative systems, products and solutions in aerospace, electronics, information systems, and technical services to government and commercial customers worldwide. Northrop Grumman is committed to hiring and retaining a diverse workforce. We are an Equal Opportunity Employer, making decisions without regard to race, color, religion, sex, national origin, age, veteran status, disability, or any other protected class. U.S. Citizenship is required for most positions",X,DOW
Numerica Corporation,www.numerica.us,"Aerospace Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics",Full-time,"PhD, Masters",Midwest,http://www.numerica.us/career_main.html,3,"Tuesday, September 25th",Yes,"Numerica Corporation is a research and development small business leader solving some of the world's most challenging information science problems. Founded in 1996 and based in Colorado, Numerica develops advanced algorithms and software for tracking targets, fusing data and integrating networks. Our technology solutions translate complex data streams from a variety of sensors into real-time, actionable information for the U.S. Department of Defense, NASA and a variety of commercial customers.",,DOW
Oak Ridge National Laboratory,jobs.ornl.gov,"Automotive Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Industrial and Operations Engineering, Integrated Microsystems Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship","PhD, Masters, Bachelors",Southeast,jobs.ornl.gov,1,"Monday, September 24th",Yes,"ORNL is the Department of Energy's largest science and energy laboratory with over 4,600 staff from more than 80 countries, 3,000 guest researchers, 12 user facilities and a budget of approximately $1.65 billion. The Lab supports the Department of Energy's mission through six major scientific competencies in energy, neutron sciences, high-performance computing, complex biological systems, materials research and national security.",,GA
Opal-RT Technologies,www.opal-rt.com,"Computer Engineering, Electrical Engineering","Full-time, Summer Internship, Co-Op","Masters, Bachelors",Northeast,www.opal-rt.com,3,"Tuesday, September 25th",Yes,"Opal-RT provides high-end environment to perform real-time simulations. This enables us to offer complex simulations known as hardware-in-the-loop without requiring expensive super computers. Those simulations are run at very high speed i.e. close to a million of simulation steps per seconds. At those speeds, a lot of problem arises. Our business is to solve those problems. We have prestigious clients like GE, ABB, NASA, Toyota, Ford, GM,… just to name a few.",,PC
Opower,www.opower.com,"Computer Science, Electrical Engineering","Full-time, Summer Internship","PhD, Masters",Northeast,,1,"Monday, September 24th",No,"At Opower, we're applying cutting edge computer science to one of humanity's greatest challenges: Energy. Our utility customers in the U.S. and abroad give us energy usage data for tens of millions of their customers which we then analyze and aggregate using the latest software technology to motivate consumers to use less energy. We use the right tools for each element of our broad solution set so our engineers get exposure to everything from Java Spring to Ruby on Rails.",,EECS
Optiver,http://www.optiver.com/,"Computer Engineering, Computer Science, Engineering Math/Physics, Financial Engineering",Full-time,"PhD, Masters, Bachelors",,http://www.optiver.com/chicago/careers/job-vacancies,1,"Tuesday, September 25th",Yes,"Optiver is a worldwide market maker and derivatives trading firm headquartered in Amsterdam, with offices strategically located in Chicago and Sydney. The dynamic industry in which we operate means that state-of-the-art technology is as vital to our organization as the skills of our traders. Real time efforts equate to real time results, therefore we foster an environment of creativity, ambition and commitment to excellence.",X,DOW
Orbital Sciences Corporation,www.Orbital.com,"Aerospace Engineering, Electrical Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors","West Coast, Southeast",www.Orbital.jobs,2,"Monday, September 24th",No,"Orbital develops and manufactures small space systems for commercial, civil government and military customers. The company's primary products are satellites and launch vehicles, including low-orbit, geostationary-orbit and planetary spacecraft for communications, remote sensing and scientific missions; ground- and air launched rockets that deliver satellites into orbit; and missile defense boosters that are used as interceptor and target vehicles.",,BBB
Orbitz World Wide,http://www.orbitz.com/,"Computer Engineering, Computer Science","Full-time, Summer Internship","PhD, Masters, Bachelors",Midwest,http://careers.orbitz.com/,1,"Monday, September 24th",Yes,"At Orbitz Worldwide, we have over 100 discreet applications which supply processing and functionality to global points of sale. With 1.5 million customers visiting our sites daily, we have the scale and complexity to develop your skills to the next level and beyond. From mobile apps and sites, to social media, to migrating all of our brands onto one technology platform so that when one brand makes an enhancement, all brands benefit—we're leading the way in travel technology.",,PC
Owens Corning,www.owenscorning.com,"Chemical Engineering, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering","Full-time, Summer Internship",Bachelors,"West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",www.owenscorning.com,2,"Monday, September 24th",No,"Owens Corning is a global producer and market-leading innovator of residential and commercial building materials, glass-fiber reinforcements and engineered materials for composite systems. Fortune® 500 for 58 straight years, Owens Corning employs about 15,000 in 28 countries. www.owenscorning.com. 298 characters",,CC
Palantir Technologies,www.palantir.com,Computer Science,"Full-time, Summer Internship","PhD, Masters, Bachelors",West Coast,http://www.palantir.com/careers/OpenPositionLanding,2,"Tuesday, September 25th",Yes,"We build software that allows organizations to make sense of massive amounts of disparate data. We solve the technical problems, so they can solve the human ones. Combating terrorism. Prosecuting crimes. Fighting fraud. Eliminating waste. From Silicon Valley to your doorstep, we deploy our data fusion platforms against the hardest problems we can find, wherever we are needed most.",,CC
Path,www.path.com,"Computer Engineering, Computer Science, Engineering Math/Physics","Full-time, Summer Internship",Bachelors,West Coast,,1,"Monday, September 24th",No,"Path is the smart journal that helps you share life with the ones you love — your thoughts, the music you're listening to, where you are, who you're with, when you wake and when you sleep, and beautiful high quality photos and videos. And for those of you who like to share on public networks like Twitter, Foursquare, Tumblr, and Facebook, you can easily check-in, upload photos and videos, blog, and tweet directly from Path.",,CO
PEAK6 Investments,www.peak6.com,"Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Financial Engineering, Interdisciplinary Engineering (Undergraduate)","Full-time, Summer Internship","Masters, Bachelors",Midwest,http://tbe.taleo.net/NA6/ats/careers/jobSearch.jsp?org=PEAK6&cws=1,2,"Monday, September 24th",Yes,"PEAK6 Investments, established in 1997, is a leading financial institution in Chicago with a demonstrated track record of success in proprietary trading. Specializing in inventory and risk management, PEAK6 Investments employs state of the art technology and proprietary tools and is thoroughly committed to building the next generation of automated trading systems and businesses.",,PC
PepsiCo / Pepsi Beverages Company,www.pepsico.com,"Chemical Engineering, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering",Full-time,Bachelors,"West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",www.pepsico.com/careers,2,"Monday, September 24th",No,"Pepsi Beverages Company (PBC) is PepsiCo's beverage manufacturing, sales and distribution operating unit in the United States, Canada and Mexico. PBC handles approximately 75 percent of PepsiCo's North America beverage volume. Its diverse portfolio includes some of the world's most widely recognized beverage brands, including Pepsi, Mountain Dew, Sierra Mist, Aquafina, Gatorade, SoBe, Lipton, and Amp Energy.",,EECS
